id,draw_date,winning_nr1,winning_nr2,winning_nr3,winning_nr4,winning_nr5,winning_nr6
4045,10.1.2004,6,10,26,38,49,20
4046,14.1.2004,31,43,30,8,19,37
4047,17.1.2004,3,31,41,45,19,24
4048,21.1.2004,48,38,6,39,28,1
4049,24.1.2004,16,13,20,44,36,6
4050,28.1.2004,3,1,11,35,24,17
4051,31.1.2004,23,19,24,28,38,41
4052,4.2.2004,21,24,16,49,27,22
4053,7.2.2004,25,22,19,17,15,13
4054,11.2.2004,45,37,10,49,30,2
4055,14.2.2004,42,32,19,6,33,46
4056,18.2.2004,12,38,14,15,3,1
4057,21.2.2004,33,11,1,36,16,43
4058,25.2.2004,36,25,40,43,26,5
4059,28.2.2004,48,36,20,25,4,33
4060,3.3.2004,9,46,38,7,21,29
4061,6.3.2004,11,2,29,39,36,40
4062,10.3.2004,40,17,23,45,18,34
4063,13.3.2004,1,31,42,8,40,27
4064,17.3.2004,40,45,26,44,2,42
4065,20.3.2004,47,21,18,14,38,17
4066,24.3.2004,35,6,21,29,38,39
4067,27.3.2004,49,44,18,46,25,48
4068,31.3.2004,14,11,29,16,24,42
4069,3.4.2004,48,31,29,37,30,21
4070,7.4.2004,44,45,26,1,14,5
4071,10.4.2004,34,31,3,11,18,15
4072,14.4.2004,34,5,46,4,36,1
4073,17.4.2004,19,30,24,14,41,27
4074,21.4.2004,40,36,4,22,39,47
4075,24.4.2004,1,41,15,28,37,14
4076,28.4.2004,28,13,23,39,12,37
4077,1.5.2004,8,36,44,21,22,25
4078,5.5.2004,10,43,16,30,19,12
4079,8.5.2004,37,16,43,9,2,28
4080,12.5.2004,44,18,23,25,17,6
4081,15.5.2004,6,19,43,21,17,28
4082,19.5.2004,13,5,49,9,35,37
4083,22.5.2004,6,20,3,18,33,16
4084,26.5.2004,18,39,24,30,21,2
4085,29.5.2004,13,16,23,44,28,22
4086,2.6.2004,8,15,12,2,46,49
4087,5.6.2004,16,25,27,12,4,29
4088,9.6.2004,16,29,47,4,49,25
4089,12.6.2004,18,25,27,40,39,17
4090,16.6.2004,26,10,22,44,8,25
4091,19.6.2004,6,49,29,20,11,34
4092,23.6.2004,36,16,31,3,13,47
4093,26.6.2004,19,6,33,38,29,13
4094,30.6.2004,28,17,4,31,1,8
4095,3.7.2004,30,7,33,40,44,22
4096,7.7.2004,35,24,46,23,47,49
4097,10.7.2004,35,28,44,37,15,16
4098,14.7.2004,45,19,7,6,49,48
4099,17.7.2004,42,36,29,23,24,17
4100,21.7.2004,7,24,9,44,46,14
4101,24.7.2004,5,13,3,46,27,26
4102,28.7.2004,6,10,44,17,43,23
4103,31.7.2004,5,18,8,48,27,37
4104,4.8.2004,22,12,24,4,9,45
4105,7.8.2004,35,1,47,48,40,21
4106,11.8.2004,41,46,12,45,48,9
4107,14.8.2004,11,37,38,45,14,32
4108,18.8.2004,48,34,46,25,16,41
4109,21.8.2004,11,22,29,21,31,5
4110,25.8.2004,29,37,6,17,40,4
4111,28.8.2004,7,8,3,44,17,10
4112,1.9.2004,3,49,29,31,24,21
4113,4.9.2004,43,26,46,13,27,45
4114,8.9.2004,28,31,39,15,48,19
4115,11.9.2004,38,26,14,3,30,28
4116,15.9.2004,39,5,41,42,21,29
4117,18.9.2004,6,40,27,43,39,33
4118,22.9.2004,28,39,16,8,32,17
4119,25.9.2004,41,4,1,21,28,9
4120,29.9.2004,25,11,2,45,14,20
4121,2.10.2004,19,20,41,22,17,27
4122,6.10.2004,30,12,28,38,16,43
4123,9.10.2004,24,22,15,32,23,13
4124,13.10.2004,46,17,38,14,36,16
4125,16.10.2004,45,32,2,40,11,28
4126,20.10.2004,41,25,38,33,35,12
4127,23.10.2004,27,3,38,23,25,35
4128,27.10.2004,17,39,36,4,26,22
4129,30.10.2004,48,8,22,13,34,45
4130,3.11.2004,34,48,7,5,4,46
4131,6.11.2004,4,26,19,1,42,47
4132,10.11.2004,49,22,35,11,41,10
4133,13.11.2004,3,17,19,40,25,27
4134,17.11.2004,19,38,42,5,31,3
4135,20.11.2004,2,22,41,35,21,14
4136,24.11.2004,10,20,33,44,30,42
4137,27.11.2004,32,15,16,3,8,10
4138,1.12.2004,21,28,26,33,43,39
4139,4.12.2004,17,2,12,44,18,5
4140,8.12.2004,8,5,34,39,20,6
4141,11.12.2004,48,33,27,41,43,45
4142,15.12.2004,49,42,5,13,9,16
4143,18.12.2004,28,12,41,35,23,24
4144,22.12.2004,36,26,22,44,25,21
4145,25.12.2004,28,22,27,21,12,42
4146,29.12.2004,22,30,6,42,44,35
4147,1.1.2005,8,19,28,10,3,36
4148,5.1.2005,1,24,43,47,20,32
4149,8.1.2005,42,19,17,28,37,9
4150,12.1.2005,26,4,7,35,3,44
4151,15.1.2005,34,47,35,22,16,25
4152,19.1.2005,12,15,11,2,5,34
4153,22.1.2005,21,26,42,22,7,32
4154,26.1.2005,29,18,11,23,30,16
4155,29.1.2005,19,38,45,27,41,18
4156,2.2.2005,5,35,29,38,19,28
4157,5.2.2005,44,33,17,23,38,35
4158,9.2.2005,20,4,24,35,6,29
4159,12.2.2005,37,32,27,16,45,35
4160,16.2.2005,11,4,26,21,45,10
4161,19.2.2005,4,14,39,28,13,10
4162,23.2.2005,25,49,20,41,4,48
4163,26.2.2005,15,42,36,17,2,10
4164,2.3.2005,33,34,30,24,20,47
4165,5.3.2005,5,41,18,33,19,32
4166,9.3.2005,43,31,25,21,35,2
4167,12.3.2005,31,47,2,19,14,1
4168,16.3.2005,23,30,26,49,47,18
4169,19.3.2005,21,17,29,36,16,41
4170,23.3.2005,18,31,45,49,27,42
4171,26.3.2005,43,33,18,46,11,1
4172,30.3.2005,38,22,47,34,28,30
4173,2.4.2005,47,34,12,11,2,32
4174,6.4.2005,13,48,23,46,28,26
4175,9.4.2005,21,32,42,31,30,49
4176,13.4.2005,7,6,49,8,2,28
4177,16.4.2005,30,12,29,28,37,46
4178,20.4.2005,23,10,20,47,6,11
4179,23.4.2005,18,28,10,26,34,40
4180,27.4.2005,34,6,4,7,5,31
4181,30.4.2005,4,31,5,45,14,26
4182,4.5.2005,28,4,41,13,30,8
4183,7.5.2005,17,7,39,9,5,29
4184,11.5.2005,21,4,10,3,38,9
4185,14.5.2005,34,10,30,24,31,42
4186,18.5.2005,24,16,34,2,43,7
